Tract,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Education,Total
725.07,92,124,18,277,1317,77,185,91,2180
726.01,57, * , * , * ,122,9,6,62,269
726.02,102,8, * ,44,134, * ,33,93,561
726.03,31, * , * , * ,109,10,12,43,231
727, -   , -   , -   , -   , -   , -   ,806, -   ,806
728, * , * ,964,78,154,21,37,160,1503
729.01, * ,25, * ,90,541,17,1307,42,2077
729.03, * , * , * , -   ,149, -   ,1684,46,1898
729.04,109, * , * ,89,3380, * ,6910,258,12189
730.01,103, * ,24,70,152, * ,20,45,422
730.05,49, * ,17, * ,43,27, -   , -   ,150
730.06,161, -   , * , * ,159,8,2,42,375
731.07,93,104,22,767,854,57,41,510,2448
731.08, * , * ,1580,49,162,38, -   , -   ,1869
731.09,148, * , * ,342,314,30,24,194,1142
731.1,33,25, * , -   ,63, * , -   ,155,392
731.11, * ,28, * ,48,223,34, -   ,92,449
731.12,212,47,76,243,995,62,173,21,1829
731.13,48, * , * ,31,124, * , -   ,250,549
731.14,25, -   , * , -   ,68, * ,74, -   ,183
731.15,31, -   , * , * ,50, * ,36,181,314
731.16,33, -   , * ,26,133, * ,39, -   ,243
731.17,79, -   , * , * ,38,29,11,88,271
731.18,75, * , -   , * ,37,18,9, -   ,141
731.19,52, -   , * , * ,50,37,3,61,228
732,103,28, * ,132,591, * ,110,277,1268
733.01,639,172,796,379,993,1252,69,320,4618
733.02,117,95, -   ,199,258,74,29,171,943
734.01,694,195,133,146,4300,152,19,144,5784
734.03,160,161,141,1302,1316,59,257,542,3938
734.04,59,32, * ,28,774, * ,72,552,1542
Total,19749,12790,16874,30366,106425,20738,34862,22598,264402
